product,brand,category,videos,views,likes,comments,views_avg,likes_avg,comments_avg,engagement_rate,shorts_ratio,views_median,views_p90,sov_posts,sov_views,shorts_uploads,shorts_views,shorts_er,video_uploads,video_views,video_er
써마지,competitor,RF,262,1954651,15863,748,7460.50,60.55,2.85,0.008498,0.7786,756,3188.9,0.226057,0.305423,204,1607099,0.0057974026491211805,58,347552,0.020986787588619833
슈링크,competitor,HIFU,62,1150119,9821,470,18550.31,158.40,7.58,0.008948,0.4677,154,1565.8999999999999,0.053494,0.179711,29,1059260,0.007113456564016389,33,90859,0.030332713325042098
볼뉴머,competitor,RF,25,1022450,314,4,40898.00,12.56,0.16,0.000311,0.7200,256,3388.000000000001,0.021570,0.159763,18,1018369,0.00030146243650386057,7,4081,0.0026954177897574125
울쎄라,competitor,HIFU,300,910812,7029,527,3036.04,23.43,1.76,0.008296,0.6700,580.5,3264.5,0.258844,0.142319,201,731309,0.0070025119340798485,99,179503,0.01356523289304357
덴서티,competitor,RF,36,499215,2963,319,13867.08,82.31,8.86,0.006574,0.7222,438,2483.5,0.031061,0.078005,26,430863,0.0038132770741511803,10,68352,0.02397881554307116
브이로,competitor,HIFU,283,494736,6356,1284,1748.18,22.46,4.54,0.015443,0.6325,279,2138.6000000000004,0.244176,0.077305,179,255375,0.01181791483113069,104,239361,0.01930974553080911
인모드,competitor,RF,80,151674,1882,226,1895.92,23.52,2.83,0.013898,0.6750,414.5,2284.8,0.069025,0.023700,54,54875,0.004027334851936219,26,96799,0.019494003037221458
세르프,competitor,RF,46,109418,854,95,2378.65,18.57,2.07,0.008673,0.6957,450.5,2193.5,0.039689,0.017097,32,65792,0.005471789883268482,14,43626,0.01350112318342273
올리지오,competitor,RF,31,58657,903,195,1892.16,29.13,6.29,0.018719,0.6774,456,3629,0.026747,0.009165,21,26199,0.006030764532997442,10,32458,0.028960502803623143
쿨소닉,asterasys,HIFU,7,20953,161,58,2993.29,23.00,8.29,0.010452,0.5714,2268,6495.200000000003,0.006040,0.003274,4,16963,0.008960679125154749,3,3990,0.016791979949874688
텐써마,competitor,RF,11,15151,136,14,1377.36,12.36,1.27,0.009900,0.6364,1047,2358,0.009491,0.002367,7,9081,0.004625041295011563,4,6070,0.017792421746293245
튠페이스,competitor,RF,7,7026,20,34,1003.71,2.86,4.86,0.007686,0.7143,494,2488.0000000000005,0.006040,0.001098,5,3575,0.005034965034965035,2,3451,0.010431758910460736
쿨페이즈,asterasys,RF,2,1675,3,0,837.50,1.50,0.00,0.001791,1.0000,837.5,1437.1000000000001,0.001726,0.000262,2,1675,0.001791044776119403,0,0,0
리프테라,asterasys,HIFU,2,1532,5,5,766.00,2.50,2.50,0.006527,1.0000,766,1119.6,0.001726,0.000239,2,1532,0.006527415143603133,0,0,0
텐쎄라,competitor,HIFU,2,993,11,1,496.50,5.50,0.50,0.012085,1.0000,496.5,849.7,0.001726,0.000155,2,993,0.012084592145015106,0,0,0
리니어지,competitor,HIFU,3,746,19,0,248.67,6.33,0.00,0.025469,1.0000,159,399,0.002588,0.000117,3,746,0.02546916890080429,0,0,0
튠라이너,competitor,HIFU,0,0,0,0,0.00,0.00,0.00,0.000000,0.0000,0,0,0.000000,0.000000,0,0,0,0,0,0
리니어펌,competitor,HIFU,0,0,0,0,0.00,0.00,0.00,0.000000,0.0000,0,0,0.000000,0.000000,0,0,0,0,0,0