기기구분,지역,매체명,매체 위치,매체 유형,표출 형식,수량,1일 송출횟수,기간
리프테라,성수동 가로변,성수동 가로등 배너,성수동 및 서울숲 대로변,가로등 배너,출력물,100조,100조,6일
,삼성동 쇼핑몰,코엑스 9 to 9 cube,코엑스몰 메인입구+라이브플라자,쇼핑몰 전광판,영상,"18기 72면
동시표출",30초 75회 또는 20초 100회 또는 15초 133회 중 택1,1개월
,압구정로데오역 지하철,"압구정로데오역 
지하철 사각기등",압구정로데오역,사각기둥전광판,영상,8기 30면,15초 200회,1개월
,,학동사거리 S&S타워 전광판,도산대로 학동사거리 (청담동 방향),,영상,1기,20초 100회,1개월
,,도산공원 사거리 BMW 전광판,도산대로 도산공원 사거리  (청담동 방향 노출),,영상,1기,20초 100회,1개월
,,신사역 스크린도어,신사역 3호선 승강장 스크린도어 상하행,,"조명
(이미지)",2기,All day,1개월
쿨페이즈,성수동 가로변,성수동 가로등 배너,성수동 및 서울숲 대로변,가로등 배너,출력물,100조,100조,6일
,삼성동 쇼핑몰,코엑스 9 to 9 cube,코엑스몰 메인입구+라이브플라자,쇼핑몰 전광판,영상,"18기 72면
동시표출",30초 75회 또는 20초 100회 또는 15초 133회 중 택1,1개월
,압구정로데오역 지하철,"압구정로데오역 
지하철 사각기등",압구정로데오역,사각기둥전광판,영상,8기 30면,15초 200회,1개월
,,학동사거리 S&S타워 전광판,도산대로 학동사거리 (청담동 방향),,영상,1기,20초 100회,1개월
,,도산공원 사거리 BMW 전광판,도산대로 도산공원 사거리  (청담동 방향 노출),,영상,1기,20초 100회,1개월
,,신사역 스크린도어,신사역 3호선 승강장 스크린도어 상하행,,"조명
(이미지)",2기,All day,1개월
쿨소닉,성수동 가로변,성수동 가로등 배너,성수동 및 서울숲 대로변,가로등 배너,출력물,100조,100조,6일
,삼성동 쇼핑몰,코엑스 9 to 9 cube,코엑스몰 메인입구+라이브플라자,쇼핑몰 전광판,영상,"18기 72면
동시표출",30초 75회 또는 20초 100회 또는 15초 133회 중 택1,1개월
,압구정로데오역 지하철,"압구정로데오역 
지하철 사각기등",압구정로데오역,사각기둥전광판,영상,8기 30면,15초 200회,1개월
,,학동사거리 S&S타워 전광판,도산대로 학동사거리 (청담동 방향),,영상,1기,20초 100회,1개월
,,도산공원 사거리 BMW 전광판,도산대로 도산공원 사거리  (청담동 방향 노출),,영상,1기,20초 100회,1개월
,,신사역 스크린도어,신사역 3호선 승강장 스크린도어 상하행,,"조명
(이미지)",2기,All day,1개월