product,brand,category,videos,views,likes,comments,views_avg,likes_avg,comments_avg,engagement_rate,shorts_ratio,views_median,views_p90,sov_posts,sov_views
써마지,competitor,RF,262,1954651,15863,748,7460.50,60.55,2.85,0.008498,0.7786,756,3188.9,0.226057,0.305423
슈링크,competitor,HIFU,62,1150119,9821,470,18550.31,158.40,7.58,0.008948,0.4677,154,1565.8999999999999,0.053494,0.179711
볼뉴머,competitor,RF,25,1022450,314,4,40898.00,12.56,0.16,0.000311,0.7200,256,3388.000000000001,0.021570,0.159763
울쎄라,competitor,HIFU,300,910812,7029,527,3036.04,23.43,1.76,0.008296,0.6700,580.5,3264.5,0.258844,0.142319
덴서티,competitor,RF,36,499215,2963,319,13867.08,82.31,8.86,0.006574,0.7222,438,2483.5,0.031061,0.078005
브이로,competitor,HIFU,283,494736,6356,1284,1748.18,22.46,4.54,0.015443,0.6325,279,2138.6000000000004,0.244176,0.077305
인모드,competitor,RF,80,151674,1882,226,1895.92,23.52,2.83,0.013898,0.6750,414.5,2284.8,0.069025,0.023700
세르프,competitor,RF,46,109418,854,95,2378.65,18.57,2.07,0.008673,0.6957,450.5,2193.5,0.039689,0.017097
올리지오,competitor,RF,31,58657,903,195,1892.16,29.13,6.29,0.018719,0.6774,456,3629,0.026747,0.009165
쿨소닉,asterasys,HIFU,7,20953,161,58,2993.29,23.00,8.29,0.010452,0.5714,2268,6495.200000000003,0.006040,0.003274
텐써마,competitor,RF,11,15151,136,14,1377.36,12.36,1.27,0.009900,0.6364,1047,2358,0.009491,0.002367
튠페이스,competitor,RF,7,7026,20,34,1003.71,2.86,4.86,0.007686,0.7143,494,2488.0000000000005,0.006040,0.001098
쿨페이즈,asterasys,RF,2,1675,3,0,837.50,1.50,0.00,0.001791,1.0000,837.5,1437.1000000000001,0.001726,0.000262
리프테라,asterasys,HIFU,2,1532,5,5,766.00,2.50,2.50,0.006527,1.0000,766,1119.6,0.001726,0.000239
텐쎄라,competitor,HIFU,2,993,11,1,496.50,5.50,0.50,0.012085,1.0000,496.5,849.7,0.001726,0.000155
리니어지,competitor,HIFU,3,746,19,0,248.67,6.33,0.00,0.025469,1.0000,159,399,0.002588,0.000117
튠라이너,competitor,HIFU,0,0,0,0,0.00,0.00,0.00,0.000000,0.0000,0,0,0.000000,0.000000
리니어펌,competitor,HIFU,0,0,0,0,0.00,0.00,0.00,0.000000,0.0000,0,0,0.000000,0.000000