기기구분,채널,링크,댓글 수
쿨페이즈,치유앤미,https://youtube.com/shorts/TJbExN4p_cg?si=I2egJSsI72QoP_74,8
쿨페이즈,에너지원,https://youtu.be/xO2dDjdsNYY?si=1rEvCxiOYfSbaShi,25
쿨페이즈,온리빛,https://youtube.com/shorts/D93WGce7G24?si=Gr1nRIkp_0eh36SI,5
쿨페이즈,온리빛,https://youtu.be/Jej5xnQGqfk?si=lif8tMxwcMohqBGZ,7
쿨페이즈,뉴리즈,https://youtube.com/shorts/GspSEaiosBE?si=gyzkTcs0aiAvGbak,7
쿨페이즈,치유앤미,https://youtube.com/shorts/TJbExN4p_cg?si=_5JyIvETnvnCXZNi,6
쿨소닉,온리빛,https://youtube.com/shorts/D93WGce7G24?si=Gr1nRIkp_0eh36SI,5
쿨소닉,온리빛,https://youtu.be/Jej5xnQGqfk?si=lif8tMxwcMohqBGZ,7
쿨소닉,미도의원,https://youtu.be/m0vR410od-s?si=rJEXky0T8kEMopX9,12
쿨소닉,엔킴의원,https://youtu.be/w6ev0iJksz4?si=Qz_dcSQrklL_hs4I,10
쿨소닉,미엘르인청담,https://youtu.be/gMq9eMa0azc?si=UM4L42B9-CpBzAN2,14